model_label,sample,flow,dimension,metric,outcome,row_type,label,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,threshold_percentile,threshold_log_exports,threshold_exports_constant_2015_usd,exploratory,bh_q_value
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.015260211319258428,0.028049098005683563,0.5440535491075779,0.5885643236790026,-0.04092888393268152,0.07144930657119838,1746,57,0.81252703272194,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,-0.027898116100665005,0.035743138348448104,-0.7805166918667142,0.4383736913821352,-0.09950022625968911,0.043703994058359105,1746,57,0.81252703272194,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_1pct_share,product_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.04315832741992343,0.03977124629969065,-1.085164067897443,0.2824985573088151,-0.1228297074467915,0.03651305260694463,1746,57,0.81252703272194,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9603359222830599
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.008977128644306373,0.014913834817705713,0.6019329537999657,0.5496481716305847,-0.02089887253669284,0.03885312982530559,1746,57,0.8803547927191316,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,-0.015133660626160499,0.022655807116515277,-0.6679815266933747,0.5068892100503495,-0.060518695960327294,0.030251374708006297,1746,57,0.8803547927191316,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.02411078927046687,0.024369685577593992,-0.9893762967805725,0.3267348232148912,-0.07292913572502288,0.02470755718408913,1746,57,0.8803547927191316,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.012981430271936024,0.03108694535512862,-0.4175846202848101,0.677847600528767,-0.07525606503192839,0.04929320448805634,1752,57,0.8041823767018799,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.007847354853621591,0.031659423781926,0.24786789891297878,0.8051432468824615,-0.05557409200159326,0.07126880170883644,1752,57,0.8041823767018799,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.020828785125557615,0.03513380538365801,0.5928417061035417,0.555673721120705,-0.04955268442706268,0.09121025467817792,1752,57,0.8041823767018799,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.007641370914311258,0.020953517988208683,-0.3646820032135577,0.7167223782145344,-0.04961631135140224,0.03433356952277972,1752,57,0.8061096796690947,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.0372671145944539,0.026131291809265867,1.4261489583626092,0.15937652916324008,-0.015080153193963358,0.08961438238287116,1752,57,0.8061096796690947,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.04490848550876516,0.02670845782575726,1.6814331176192454,0.09824835126391936,-0.008594984745422876,0.0984119557629532,1752,57,0.8061096796690947,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.6963352083290884
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,below_threshold,prior_export_growth_below_threshold,-0.004780837993420488,0.00814345002202123,-0.5870777103675119,0.559511097889916,-0.021094128669436014,0.011532452682595038,1743,57,0.9171150932151695,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,above_threshold,prior_export_growth_above_threshold,0.004330948727202914,0.008873979909314053,0.4880503191873566,0.6274197302862735,-0.013445769165372944,0.02210766661977877,1743,57,0.9171150932151695,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,difference,above_minus_below,above_minus_below_growth_slope,0.009111786720623401,0.012463749384839013,0.7310630564914149,0.4677886102456035,-0.015856103556601223,0.03407967699784803,1743,57,0.9171150932151695,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,below_threshold,prior_export_growth_below_threshold,0.02343021913325427,0.0075222411815772435,3.1147923295303706,0.0029004987765442213,0.008361359301324409,0.03849907896518413,1749,57,0.7723588476657318,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,above_threshold,prior_export_growth_above_threshold,0.014199240597252485,0.011042734110714892,1.2858446517764834,0.20378892828596162,-0.00792201402074193,0.0363204952152469,1749,57,0.7723588476657318,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,difference,above_minus_below,above_minus_below_growth_slope,-0.009230978536001785,0.011706726921300483,-0.788519164926103,0.43371854393699716,-0.032682370589183496,0.014220413517179925,1749,57,0.7723588476657318,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.02889327691377532,0.02238590417618764,1.2906906366779551,0.20211439434821915,-0.015951077860190382,0.07373763168774101,1743,57,0.878981181024947,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.038812946831934536,0.043956419283505084,0.8829870008656354,0.38101817526597714,-0.04924234213153264,0.1268682357954017,1743,57,0.878981181024947,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.009919669918159218,0.043131907881151725,0.2299844918868991,0.8189418505669444,-0.07648392423095934,0.09632326406727779,1743,57,0.878981181024947,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9824144107236605
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.0003950381920430103,0.017508336992317568,0.02256286203631721,0.9820791736157967,-0.034678375390278016,0.03546845177436404,1743,57,0.9121754484967802,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.016177952403885046,0.024476471009263312,0.6609593514425496,0.5113485246002412,-0.032854310975570684,0.06521021578334077,1743,57,0.9121754484967802,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
