classification_code,cmd_code,hs_desc_official,bec5_label,bec5_end_use,exercise_03_bin,mapping_status,bec5_primary_flag,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule,primary_mapping_source
H5,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",,,intermediates,ambiguous,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121229,"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121291,"Sugar beet; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121292,"Locust beans (carob); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121293,"Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121294,"Chicory roots (Chicorium intybus sativum); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121299,"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121300,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121410,Lucerne (alfalfa) meal and pellets,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,121490,"Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
