country_sample,year,flow,observed_hs6_codes,active_country_year_hs6_products,reporters_with_trade,reporter_year_flow_observations,trade_value,product_universe,excluded_hs6_codes,source_note,flow_order
rd2_countries,2014,Exports,5502,210187,60,60,14281824381260.562,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2014,Imports,5725,272980,60,60,15103874806687.383,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2015,Any flow,5341,484353,60,120,25957856052964.844,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2015,Exports,5263,211609,60,60,12700089387737.953,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2015,Imports,5337,272744,60,60,13257766665226.9,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2016,Any flow,5341,484714,60,120,25276043631163.258,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2016,Exports,5260,210554,60,60,12351889864844.746,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2016,Imports,5339,274160,60,60,12924153766318.64,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2017,Any flow,5573,496132,60,120,28045253978630.848,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2017,Exports,5518,216828,60,60,13640643201740.879,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
